0	10949	11637	11072	11502
1	2228	2437	2243	2423
2	418	460	425	460
3	20	23	20	23
4	1985	2294	2034	2229
5	835	969	848	969
6	1445129	1678496	1520242	1578101
7	8417	10299	8806	9615
8	4413400	4732228	4526668	4614446
9	37685	42231	39146	40612
10	4267	4487	4303	4477
11	211	234	211	233
12	1680	2102	1751	2063
13	14029	14494	14086	14459
14	941	1083	988	1081
15	184527	218689	195931	204727
16	434	468	436	464
17	11691	12571	11956	12482
18	5254	6474	5560	6131
19	16551	19622	17540	18906
20	3883	4415	3948	4365
21	875	924	877	924
22	469084	766368	552561	630532
23	48825	56426	51320	54007
24	1709	1801	1709	1800
25	33341	46369	38284	41851
26	14278	15037	14436	14859
27	1238	1398	1241	1380
28	7402	8395	7549	8179
29	2429	2987	2548	2856
30	1029603	1278339	1125357	1192606
31	8929	10107	9210	9878
32	1939	2044	1941	2026
33	72006	97724	82018	88421
34	5874	6045	5885	6036
35	24729	25376	24833	25303
36	888346	968714	922891	941269
37	14795	15115	14845	15060
38	1855	2201	1877	2103
39	4813744	13925762	8086042	10202447
40	286	312	286	312
41	50716688	57254394	53256418	54821997
42	412	436	412	436
43	2040493	2985885	2344444	2586003
44	588	775	590	757
45	1312061	1965025	1547226	1707049
46	12142	13753	12521	13252
47	8370	9043	8465	8978
48	1023	1181	1040	1180
49	163811	193847	174562	181722
50	3632	3887	3669	3857
51	448583	728833	536716	606537
52	22295	24016	22499	23871
53	40203	47136	42360	44537
54	2486	2807	2523	2744
55	37254	51467	44240	47921
56	23317	32073	24844	27292
57	2198	2368	2215	2356
58	39931	46795	42454	44714
59	1039	1272	1058	1256
60	3056	3672	3218	3567
61	104568	124491	111127	117402
62	2247	2686	2311	2628
63	9870	12621	10742	11966
64	253687	309807	275490	290470
65	359930	436760	400682	419160
66	735	799	740	796
67	2646	2931	2659	2917
68	962287	1196697	1042395	1108552
69	15745	18462	16490	17593
70	569656	662473	610692	632216
71	39915	43697	41205	42865
72	4776562	6468066	5446521	5844582
73	7944	9060	8184	8813
74	27739	29952	28166	29211
75	23355599	27790773	25195166	26313418
76	2944	3241	2974	3207
77	1195	1328	1205	1323
78	1029	1165	1035	1159
79	230165	265183	240558	250191
80	225	257	225	254
81	1088	1249	1112	1229
82	1286	1429	1290	1384
83	2351	2481	2353	2476
84	2443	3823	2647	3312
85	10390675	10876411	10568546	10695882
86	71198	86365	76890	81499
87	8003726	11119652	9153413	9933002
88	18438	20489	18980	19898
89	4945	5408	5103	5333
90	3379	3680	3406	3635
91	246286	254343	248681	251760
92	86103	95661	89514	92842
93	15837	18052	16560	17590
94	473993	480836	475945	478305
95	15446	17439	15750	17014
96	504593	728811	625803	675870
97	12511	15724	13764	14708
98	791	996	821	975
99	9745	10276	9814	10208
100	1306	1376	1306	1369
101	680	888	686	880
102	804	942	817	930
103	10736	13283	11263	12443
104	2808	3468	2908	3395
105	120677	300434	151935	200881
106	11577985	16169636	13262470	14423833
107	847	967	862	953
108	150	186	152	185
109	39614	42574	40185	41575
110	417	473	419	471
111	223	254	224	254
112	7333	9561	7736	8732
113	554255	591336	564424	575362
114	10631810	17227561	13050503	14618169
115	865	1092	887	1041
116	2737071	3230349	2946631	3076296
117	28132406	32984198	29988258	31122769
118	19207	24466	20777	22344
119	6609	7188	6738	7099
120	1501	1733	1516	1660
121	1774	2246	1858	2168
122	11276	12565	11478	12316
123	574	633	576	629
124	307	320	307	320
125	12938	13802	13024	13615
126	58674	60559	59073	60157
127	154084	225168	175946	193792
