0	1567
1	562
2	86
3	5
4	528
5	378
6	411605
7	2029
8	1154330
9	8768
10	967
11	61
12	495
13	4469
14	376
15	45102
16	141
17	3202
18	1512
19	4426
20	1230
21	182
22	145921
23	13134
24	516
25	11532
26	4587
27	528
28	1965
29	580
30	318790
31	2724
32	409
33	18577
34	1561
35	6095
36	248366
37	997
38	498
39	2620856
40	62
41	15137276
42	108
43	704643
44	188
45	447395
46	4319
47	2420
48	321
49	40668
50	974
51	158322
52	7576
53	13436
54	699
55	13063
56	7385
57	701
58	16434
59	288
60	1115
61	27834
62	740
63	3288
64	70875
65	114891
66	252
67	820
68	248044
69	4433
70	181431
71	13839
72	1549623
73	2423
74	8300
75	7342400
76	704
77	334
78	425
79	69920
80	67
81	324
82	530
83	644
84	857
85	2856483
86	20614
87	2553886
88	5890
89	1725
90	1060
91	91370
92	27316
93	4079
94	166309
95	4834
96	169068
97	3880
98	179
99	3857
100	254
101	210
102	217
103	3570
104	919
105	40342
106	3944158
107	185
108	60
109	7545
110	107
111	52
112	1778
113	135722
114	3975959
115	187
116	785801
117	8101067
118	5539
119	1623
120	479
121	602
122	3424
123	108
124	68
125	4261
126	15220
127	49864
128	44518
129	4353
130	5475
131	2129798
132	21253
133	12954
134	6616
135	5569
136	3886225
137	3007887
138	316
139	1361
140	63
141	314295
142	454
143	761237
144	8986
145	2696570
146	425
147	975
148	428
149	265
150	40884
151	4014
152	7351
153	126
154	29981852
155	15296
156	694
157	1209341
158	4242
159	1497
160	4533
161	30909
162	3242
163	2200
164	4670805
165	4015
166	57
167	119
168	137
169	118
170	273
171	1264440
172	706720
173	96
174	825
175	2988
176	214
177	404
178	6552
179	298
180	198147
181	5009
182	784
183	1023
184	687
185	23
186	185
187	16
188	10402
189	153
190	98
191	76843
192	12045
193	13197
194	5016
195	613
196	17312
197	9016
198	35618
199	24164
200	45
201	6859
202	2640
203	1252
204	274
205	241
206	29680
207	255
208	3314
209	116
210	868
211	149
212	11223
213	729
214	159
215	3959387
216	5436
217	858
218	36
219	34761
220	29921
221	8246
222	912
223	2559
224	309
225	187
226	884299
227	350514
228	22894
229	6951623
230	2134
231	562
232	148
233	56
234	2485
235	2824392
236	50133
237	4270
238	1738
239	24166485
240	15231845
241	1479
242	1018
243	4273
244	1658
245	146414
246	371
247	1417
248	6493464
249	2285
250	153
251	4699
252	1134
253	643523
254	63
255	5971
256	4765
257	1572
258	104
259	146221
